PM10,NO2,NH3,CO,SO2,O3,Toluene,AQI,AQI_lag_1,PM10_lag_1,City_Aizawl,City_Amaravati,City_Amritsar,City_Bengaluru,City_Chandigarh,City_Chennai,City_Coimbatore,City_Delhi,City_Gurugram,City_Hyderabad,City_Jaipur,City_Kochi,City_Kolkata,City_Patna,City_Shillong,City_Talcher,City_Visakhapatnam,year,month,day_of_week
-0.963095107,-3.16502463,0.321005824,-0.510899914,-0.923157939,-4.623872195,-1.369315308,-1.137815936,-1.365307857,-1.207941355,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,4
-0.853009248,-3.06268341,0.312836768,-0.510899914,-0.904269804,-4.368853714,-1.369315308,-1.085964391,-1.139272953,-0.964830725,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,5
-1.129467398,-3.597081542,0.291564716,-0.658711603,-0.877697434,-4.485175249,-1.369315308,-0.893824431,-1.087402277,-0.854663859,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,6
-1.332280139,-2.461683617,0.100691354,-0.625102242,-0.856777178,-1.079510204,-0.904304322,-1.304232573,-0.895191423,-1.13132544,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,0
-1.306546654,-2.532597616,0.127984155,-0.658711603,-0.823399004,-2.068074178,-0.607298632,-1.776382629,-1.305750992,-1.334287419,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,1
-1.114488431,-2.832787293,0.074183339,-0.675686989,-0.773471776,-1.598199738,-0.666680014,-1.394382845,-1.778075256,-1.308534998,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,2
-0.784573751,-2.92312632,0.073704477,-0.658711603,-0.710982524,-1.432135615,-0.700035715,-1.06065271,-1.395934527,-1.116335451,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,3
-1.03881663,-3.219457871,0.140717068,-0.64185053,-0.706283,-1.988823943,-0.683202713,-0.916622806,-1.062081257,-0.786178004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,4
-0.637045563,-3.18516515,0.122024975,-0.64185053,-0.635283096,-1.618890661,2.156833274,-0.893824431,-0.91799821,-1.040607967,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,5
-1.151621224,-3.832775141,-0.185865783,-0.852088074,-0.685317549,-2.149809921,1.039275904,-0.871344924,-0.895191423,-0.638541259,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,6
-1.113247828,-3.799440931,-0.088931096,-0.945179088,-0.635283096,-2.130529536,2.350684603,-1.333724382,-0.872703623,-1.153495567,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,0
-0.712632233,-3.821566409,-0.090583594,-0.852088074,-0.519186537,-2.160634482,-1.113700567,-0.987024944,-1.335253683,-1.115093935,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,1
-0.577687382,-3.788520838,0.166659325,-0.727314795,-0.403851584,-1.986897806,-0.822763493,-0.459993832,-0.988426324,-0.714183549,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,2
-0.580996437,-3.832775141,0.168869008,-0.762334384,-0.394316512,-2.101044442,-0.784615989,-0.512695553,-0.461200756,-0.5791394,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,3
-0.778065758,-3.855493297,0.285586472,-0.797850722,-0.295065437,-1.990752674,-0.832559558,-0.642833768,-0.513921923,-0.582450889,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,4
-0.637477762,-3.606470388,0.348966999,-0.727314795,-0.23411211,-1.598199738,-0.915038954,-0.871344924,-0.644108154,-0.779665223,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,5
-1.100905553,-3.832775141,0.293947481,-0.870431452,-0.215461568,-1.71588764,-0.948036461,-0.662315928,-0.872703623,-0.638973776,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,6
-0.925190509,-3.714597303,0.316733914,-0.762334384,-0.237528468,-1.81309904,-0.87801707,-1.137815936,-0.663597502,-1.102742577,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,0
-1.374678517,-3.704378911,0.389876293,-0.797850722,-0.198707734,-1.930286382,-0.842463869,-1.394382845,-1.139272953,-0.926898234,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020,3,1
